Match Date,Match,Player,Adjusted Prob,Variance,Best Wager Score,Worst Odds
2026-03-28 10:40:00,Tadeusz Piotrowski vs Waclaw Suchecki,Tadeusz Piotrowski,0.76,0.059,0.702,-287
2026-03-28 08:40:00,Dawid Poloszczanski vs Artur Szoltysek,Artur Szoltysek,0.707,0.01,0.697,-244
2026-03-28 18:15:00,Adrian Eliasz vs Maciej Makajew,Maciej Makajew,0.718,0.022,0.696,-247
2026-03-28 05:55:00,Witold Buczynski vs Sebastian Szostok,Sebastian Szostok,0.71,0.014,0.696,-250
2026-03-28 11:55:00,Witold Buczynski vs Sebastian Szostok,Sebastian Szostok,0.71,0.014,0.696,-250
2026-03-28 20:35:00,Adrian Eliasz vs Maciej Makajew,Maciej Makajew,0.718,0.022,0.696,-247
2026-03-28 13:00:00,Adrian Eliasz vs Maciej Makajew,Maciej Makajew,0.718,0.022,0.696,-247
2026-03-28 22:00:00,Roman Wiza vs Piotr Przewlocki,Piotr Przewlocki,0.713,0.018,0.695,-255
2026-03-28 14:30:00,Piotr Przewlocki vs Roman Wiza,Piotr Przewlocki,0.713,0.018,0.695,-255
2026-03-28 11:30:00,Rafal Wojcik vs Lukasz Oracz,Lukasz Oracz,0.667,0.0,0.667,-200
2026-03-28 05:30:00,Lukasz Oracz vs Rafal Wojcik,Lukasz Oracz,0.667,0.0,0.667,-200
2026-03-27 23:50:00,Tadeusz Piotrowski vs Piotr Strus,Tadeusz Piotrowski,0.683,0.025,0.658,-208
2026-03-28 19:10:00,Rafal Adach vs Roman Wiza,Rafal Adach,0.694,0.038,0.656,-238
2026-03-28 17:20:00,Roman Wiza vs Rafal Adach,Rafal Adach,0.694,0.038,0.656,-238
2026-03-28 19:25:00,Krystian Kolodziej vs Patryk Jendrzejewski,Krystian Kolodziej,0.66,0.01,0.65,-192
2026-03-28 17:35:00,Krystian Kolodziej vs Patryk Jendrzejewski,Krystian Kolodziej,0.66,0.01,0.65,-192
2026-03-28 21:30:00,Krystian Kolodziej vs Patryk Jendrzejewski,Krystian Kolodziej,0.66,0.01,0.65,-192
2026-03-28 11:35:00,Dawid Michna vs Szymon Sporek,Dawid Michna,0.651,0.024,0.627,-192
2026-03-28 00:20:00,Roman Wiza vs Robert Szymik,Robert Szymik,0.769,0.144,0.626,-428
2026-03-28 00:10:00,Dawid Poloszczanski vs Waclaw Suchecki,Waclaw Suchecki,0.63,0.005,0.625,-169
2026-03-28 05:25:00,Dawid Poloszczanski vs Waclaw Suchecki,Waclaw Suchecki,0.63,0.005,0.625,-169
2026-03-28 04:45:00,Rafal Wojcik vs Witold Buczynski,Rafal Wojcik,0.624,0.013,0.61,-163
2026-03-28 13:05:00,Rafal Wojcik vs Witold Buczynski,Rafal Wojcik,0.624,0.013,0.61,-163
2026-03-28 04:10:00,Tadeusz Piotrowski vs Szymon Skop,Tadeusz Piotrowski,0.639,0.038,0.601,-169
2026-03-28 00:55:00,Tadeusz Piotrowski vs Jacek Przewlocki,Tadeusz Piotrowski,0.668,0.067,0.601,-189
2026-03-28 09:05:00,Tadeusz Piotrowski vs Jacek Przewlocki,Tadeusz Piotrowski,0.668,0.067,0.601,-189
2026-03-28 07:55:00,Michal Oracz vs Witold Buczynski,Michal Oracz,0.6,0.0,0.6,-150
2026-03-28 04:00:00,Mariusz Adamus vs Mariusz Koczyba,Mariusz Koczyba,0.6,0.0,0.6,-150
2026-03-28 01:55:00,Michal Oracz vs Witold Buczynski,Michal Oracz,0.6,0.0,0.6,-150
2026-03-28 17:10:00,Michal Olbrycht vs Lukasz Jarocki,Lukasz Jarocki,0.649,0.067,0.582,-200
2026-03-28 10:20:00,Rafal Wojcik vs Daniel Morawiec,Daniel Morawiec,0.631,0.05,0.581,-161
2026-03-28 02:20:00,Daniel Morawiec vs Rafal Wojcik,Daniel Morawiec,0.631,0.05,0.581,-161
2026-03-27 23:30:00,Damian Fira vs Robert Szymik,Robert Szymik,0.654,0.073,0.581,-206
2026-03-27 21:05:00,Mateusz Czernik vs Michal Olbrycht,Michal Olbrycht,0.591,0.012,0.58,-143
2026-03-28 05:30:00,Maciej Kolek vs Bartek Sulkowski,Maciej Kolek,0.591,0.012,0.58,-143
2026-03-28 10:30:00,Szymon Sporek vs Maciej Nowalinski,Maciej Nowalinski,0.609,0.033,0.576,-150
2026-03-28 17:05:00,Mateusz Misiak vs Adrian Eliasz,Mateusz Misiak,0.619,0.053,0.567,-159
2026-03-28 19:25:00,Mateusz Misiak vs Adrian Eliasz,Mateusz Misiak,0.619,0.053,0.567,-159
2026-03-28 10:20:00,Artur Szoltysek vs Mariusz Zwolinski,Artur Szoltysek,0.577,0.031,0.546,-132
2026-03-28 00:35:00,Mariusz Zwolinski vs Artur Szoltysek,Artur Szoltysek,0.577,0.031,0.546,-132
2026-03-28 04:35:00,Dawid Poloszczanski vs Jacek Przewlocki,Jacek Przewlocki,0.636,0.091,0.544,-156
2026-03-28 09:55:00,Dawid Poloszczanski vs Jacek Przewlocki,Jacek Przewlocki,0.636,0.091,0.544,-156
2026-03-28 09:30:00,Daniel Morawiec vs Witold Buczynski,Witold Buczynski,0.572,0.037,0.535,-129
2026-03-28 03:30:00,Daniel Morawiec vs Witold Buczynski,Witold Buczynski,0.572,0.037,0.535,-129
2026-03-28 11:05:00,Michal Oracz vs Daniel Morawiec,Daniel Morawiec,0.588,0.062,0.527,-133
2026-03-28 05:05:00,Michal Oracz vs Daniel Morawiec,Daniel Morawiec,0.588,0.062,0.527,-133
2026-03-28 02:45:00,Lukasz Oracz vs Michal Oracz,Michal Oracz,0.63,0.133,0.496,-150
2026-03-28 12:20:00,Michal Oracz vs Lukasz Oracz,Michal Oracz,0.63,0.133,0.496,-150
2026-03-28 09:45:00,Filip Kujawa vs Arkadiusz Mugowski,Filip Kujawa,0.551,0.1,0.451,-114
2026-03-27 21:10:00,Miroslaw Lewczuk vs Artur Kubiak,Artur Kubiak,0.613,0.173,0.44,-127
2026-03-28 03:30:00,Kamil Rudomina vs Filip Kujawa,Filip Kujawa,0.58,0.171,0.409,-113
2026-03-28 01:00:00,Kamil Rudomina vs Filip Kujawa,Filip Kujawa,0.58,0.171,0.409,-113
2026-03-27 22:00:00,Cezary Pawlik vs Artur Kubiak,Cezary Pawlik,0.518,0.112,0.406,105
2026-03-28 02:55:00,Dawid Poloszczanski vs Piotr Strus,Piotr Strus,0.486,0.203,0.283,133
