Rank	Player	Country	Birthdate
52	Barbora Krejcikova	CZE	1995-12-18
53	Mccartney Kessler	USA	1999-07-08
54	Camila Osorio	COL	2001-12-22
55	Sonay Kartal	GBR	2001-10-28
56	Talia Gibson	AUS	2004-06-18
57	Magda Linette	POL	1992-02-12
58	Veronika Kudermetova	RUS	1997-04-24
59	Varvara Gracheva	FRA	2000-08-02
60	Tatjana Maria	GER	1987-08-08
61	Antonia Ruzic	CRO	2003-01-20
62	Shuai Zhang	CHN	1989-01-21
63	Elsa Jacquemot	FRA	2003-05-03
64	Katie Boulter	GBR	1996-08-01
65	Solana Sierra	ARG	2004-06-17
66	Anastasia Zakharova	RUS	2002-01-18
67	Daria Kasatkina	AUS	1997-05-07
68	Anna Bondar	HUN	1997-05-27
69	Caty Mcnally	USA	2001-11-20
70	Beatriz Haddad Maia	BRA	1996-05-30
71	Oleksandra Oliynykova	UKR	2001-01-03
72	Yulia Putintseva	KAZ	1995-01-07
73	Kamilla Rakhimova	UZB	2001-08-28
74	Oksana Selekhmeteva	RUS	2003-01-13
75	Ajla Tomljanovic	AUS	1993-05-07
76	Eva Lys	GER	2002-01-12
77	Zeynep Sonmez	TUR	2002-04-30
78	Petra Marcinko	CRO	2005-12-04
79	Viktorija Golubic	SUI	1992-10-16
80	Kimberly Birrell	AUS	1998-04-29
81	Moyuka Uchijima	JPN	2001-08-11
82	Ella Seidel	GER	2005-02-14
83	Elena Gabriela Ruse	ROU	1997-11-06
84	Dalma Galfi	HUN	1998-08-13
85	Renata Zarazua	MEX	1997-09-30
86	Katie Volynets	USA	2001-12-31
87	Julia Grabher	AUT	1996-07-02
88	Simona Waltert	SUI	2000-12-13
89	Yuliia Starodubtseva	UKR	2000-02-17
90	Taylor Townsend	USA	1996-04-16
91	Diane Parry	FRA	2002-09-01
92	Panna Udvardy	HUN	1998-09-28
93	Daria Snigur	UKR	2002-03-27
94	Anastasia Potapova	RUS	2001-03-30
95	Nikola Bartunkova	CZE	2006-02-25
96	Hanne Vandewinkel	BEL	2004-05-21
97	Alycia Parks	USA	2000-12-31
98	Darja Semenistaja	LAT	2002-09-16
99	Anna Blinkova	RUS	1998-09-10
100	Veronika Erjavec	SLO	1999-12-30
101	Francesca Jones	GBR	2000-09-19
102	Mayar Sherif	EGY	1996-05-05
103	Ashlyn Krueger	USA	2004-05-07
104	Kaja Juvan	SLO	2000-11-25
105	Lulu Sun	NZL	2001-04-14
106	Emiliana Arango	COL	2000-11-28
107	Victoria Jimenez Kasintseva	AND	2005-08-09
108	Lilli Tagger	AUT	2008-02-17
109	Tamara Korpatsch	GER	1995-05-12
110	Olga Danilovic	SRB	2001-01-23
111	Aliaksandra Sasnovich	BLR	1994-03-22
112	Lanlana Tararudee	THA	2004-07-07
113	Paula Badosa	ESP	1997-11-15
114	Anastasia Pavlyuchenkova	RUS	1991-07-03
115	Donna Vekic	CRO	1996-06-28
116	Darja Vidmanova	CZE	2003-01-09
117	Suzan Lamens	NED	1999-07-05
118	Sinja Kraus	AUT	2002-04-29
119	Anhelina Kalinina	UKR	1997-02-07
120	Danielle Collins	USA	1993-12-13
121	Yue Yuan	CHN	1998-09-25
122	Rebecca Sramkova	SVK	1996-10-19
123	Alina Korneeva	RUS	2007-06-23
124	Leolia Jeanjean	FRA	1995-08-14
125	Rebeka Masarova	ESP	1999-08-06
126	Dominika Salkova	CZE	2004-06-28
127	Tamara Zidansek	SLO	1997-12-26
128	Marina Stakusic	CAN	2004-11-27
129	Alina Charaeva	RUS	2002-05-27
130	Kaitlin Quevedo	ESP	2006-02-13
131	Tiantsoa Sarah Rakotomanga Rajaonah	FRA	2005-12-15
132	Katarzyna Kawa	POL	1992-11-17
133	Maja Chwalinska	POL	2001-10-11
134	Sofia Costoulas	BEL	2005-04-02
135	Caroline Dolehide	USA	1998-09-05
136	Emerson Jones	AUS	2008-07-07
137	Lin Zhu	CHN	1994-01-28
138	Priscilla Hon	AUS	1998-05-10
139	Himeno Sakatsume	JPN	2001-08-03
140	Bianca Andreescu	CAN	2000-06-16
141	Arantxa Rus	NED	1990-12-13
142	Maddison Inglis	AUS	1998-01-14
143	Elvina Kalieva	USA	2003-07-27
144	Linda Fruhvirtova	CZE	2005-05-01
145	Joanna Garland	TPE	2001-07-16
146	Lola Radivojevic	SRB	2005-01-02
147	Andrea Lazaro Garcia	ESP	1994-11-04
148	Lucrezia Stefanini	ITA	1998-05-15
149	Greet Minnen	BEL	1997-08-14
150	Nuria Brancaccio	ITA	2000-06-24
151	Leyre Romero Gormaz	ESP	2002-04-06
152	Taylah Preston	AUS	2005-10-27
153	Maria Timofeeva	UZB	2003-11-18
154	Linda Klimovicova	CZE	2004-06-18
155	Varvara Lepchenko	USA	1986-05-21
156	Polina Kudermetova	UZB	2003-06-04
157	Tatiana Prozorova	RUS	2003-10-10
158	Anouk Koevermans	NED	2004-01-02
159	Teodora Kostovic	SRB	2007-06-28
160	Polina Iatcenko	RUS	2003-12-10
161	Lucia Bronzetti	ITA	1998-12-10
162	Kayla Day	USA	1999-09-28
163	Despina Papamichail	GRE	1993-02-09
164	Ekaterine Gorgodze	GEO	1991-12-03
165	Ye Xin Ma	CHN	1999-06-10
166	Iryna Shymanovich	BLR	1997-06-30
167	Carol Young Suh Lee	POC	2001-12-21
168	Jessika Ponchet	FRA	1996-09-26
169	Viktoriya Tomova	BUL	1995-02-25
170	Nao Hibino	JPN	1994-11-28
171	Carole Monnet	FRA	2001-12-01
172	Laura Samson	CZE	2008-03-10
173	Mary Stoiana	USA	2003-05-06
174	Elizabeth Mandlik	USA	2001-05-19
175	Hanyu Guo	CHN	1998-05-18
176	Whitney Osuigwe	USA	2002-04-17
177	Maria Lourdes Carle	ARG	2000-02-10
178	Guiomar Maristany Zuleta De Reales	ESP	1999-02-19
179	Xiyu Wang	CHN	2001-03-28
180	Irina Camelia Begu	ROU	1990-08-26
181	Harriet Dart	GBR	1996-07-28
182	Anastasia Gasanova	RUS	1999-05-15
183	Olivia Gadecki	AUS	2002-04-24
184	Mona Barthel	GER	1990-07-11
185	Francisca Jorge	POR	2000-04-21
186	Julia Riera	ARG	2002-05-29
187	Lisa Pigato	ITA	2003-06-21
188	Anastasija Sevastova	LAT	1990-04-13
189	Louisa Chirico	USA	1996-05-16
190	Mananchaya Sawangkaew	THA	2002-07-10
191	Jil Teichmann	SUI	1997-07-15
192	Cadence Brace	CAN	2005-02-25
193	Noma Noha Akugue	GER	2003-12-02
194	Fiona Crawley	USA	2002-02-07
195	Anna Lena Friedsam	GER	1994-02-01
196	Storm Hunter	AUS	1994-08-11
197	Alice Rame	FRA	1997-11-09
198	Yeon Woo Ku	KOR	2003-03-15
199	Kayla Cross	CAN	2005-03-21
200	Lina Gjorcheska	MKD	1994-08-03
201	Astra Sharma	AUS	1995-09-11
202	Harmony Tan	FRA	1997-09-11
203	Marina Bassols Ribera	ESP	1999-12-13
204	Victoria Azarenka	BLR	1989-07-31
205	Veronika Podrez	UKR	2007-01-11
206	Jazmin Ortenzi	ARG	2001-11-20
207	Celine Naef	SUI	2005-06-25
208	Silvia Ambrosio	ITA	1997-01-24
209	Elena Pridankina	RUS	2005-08-30
210	Miriam Bianca Bulgaru	ROU	1998-10-08
211	Irene Burillo Escorihuela	ESP	1997-07-23
212	Laura Pigossi	BRA	1994-08-02
213	Aliona Bolsova	ESP	1997-11-06
214	Anna Siskova	CZE	2001-07-01
215	Viktoria Hruncakova	SVK	1998-05-11
216	Fiona Ferro	FRA	1997-03-12
217	Luisina Giovannini	ARG	2006-11-08
218	Lucie Havlickova	CZE	2005-03-13
219	Aoi Ito	JPN	2004-05-21
220	Mai Hontama	JPN	1999-08-30
221	Kathinka Von Deichmann	LIE	1994-05-16
222	Susan Bandecchi	SUI	1998-07-01
223	Claire Liu	USA	2000-05-25
224	Gabriela Andrea Knutson	CZE	1997-04-21
225	Tara Wurth	CRO	2002-09-30
226	Camilla Rosatello	ITA	1995-05-28
227	Jana Fett	CRO	1996-11-02
228	Ena Shibahara	JPN	1998-02-12
229	Barbora Palicova	CZE	2004-03-11
230	Katherine Sebov	CAN	1999-01-05
231	Ana Sofia Sanchez	MEX	1994-04-13
232	Xinyu Gao	CHN	1997-11-21
233	Julie Belgraver	FRA	2002-07-04
234	Caroline Uebelhoer	GER	1996-04-08
235	Julia Avdeeva	RUS	2002-07-06
236	Elizara Yaneva	BUL	2007-03-21
237	Chloe Paquet	FRA	1994-07-01
238	Aliona Falei	BLR	2004-03-29
239	Eva Guerrero Alvarez	ESP	1999-09-04
240	Raluka Serban	CYP	1997-06-17
241	Bernarda Pera	USA	1994-12-03
242	Sada Nahimana	BDI	2001-04-21
243	Matilde Jorge	POR	2004-04-07
244	Kajsa Rinaldo Persson	SWE	1997-11-11
245	Selena Janicijevic	FRA	2002-07-23
246	Ayana Akli	USA	2001-07-06
247	Xiaodi You	CHN	1996-05-12
248	Jessica Pieri	ITA	1997-04-24
249	Mingge Xu	GBR	2007-10-02
250	Carolina Alves	BRA	1996-04-23
251	Anastasia Tikhonova	RUS	2001-01-21
252	Angela Fita Boluda	ESP	1999-07-12
253	Hina Inoue	USA	2003-06-01
254	Justina Mikulskyte	LTU	1996-02-06
255	Fangran Tian	CHN	2003-08-10
256	Vendula Valdmannova	CZE	2007-12-10
257	Karolina Pliskova	CZE	1992-03-21
258	Eva Vedder	NED	1999-11-23
259	Rebecca Marino	CAN	1990-12-16
260	Jeline Vandromme	BEL	2007-11-16
261	Katarina Zavatska	UKR	2000-02-05
262	Tereza Martincova	CZE	1994-10-24
263	Nuria Parrizas Diaz	ESP	1991-07-15
264	Katie Swan	GBR	1999-03-24
265	Anca Alexia Todoni	ROU	2004-10-10
266	Mia Ristic	SRB	2006-05-17
267	Jennifer Ruggeri	ITA	2003-07-23
268	Ayla Aksu	USA	1996-07-15
269	Julieta Pareja	USA	2009-02-18
270	Polona Hercog	SLO	1991-01-20
271	Dalila Spiteri	ITA	1997-04-24
272	Tyra Caterina Grant	ITA	2008-03-12
273	Akasha Urhobo	USA	2007-01-19
274	Anastasia Zolotareva	RUS	2002-01-18
275	Mei Yamaguchi	JPN	1999-06-14
276	Mika Stojsavljevic	GBR	2008-12-15
277	Sohyun Park	KOR	2002-07-02
278	Tessa Johanna Brockmann	GER	2005-11-21
279	Anastasiya Soboleva	UKR	2004-04-23
280	Katrina Scott	USA	2004-06-11
281	Carolyn Ansari	USA	2000-12-29
282	Katharina Hobgarski	GER	1997-06-18
283	Martyna Kubka	POL	2001-04-19
284	Alisa Oktiabreva	RUS	2008-07-26
285	Alexandra Shubladze	RUS	2005-09-06
286	Anna Sinclair Rogers	USA	1998-03-21
287	Sara Saito	JPN	2006-10-03
288	Lia Karatancheva	BUL	2003-09-08
289	Heather Watson	GBR	1992-05-19
290	Lizette Cabrera	AUS	1997-12-19
291	Carson Branstine	USA	2000-09-09
292	Elena Ruxandra Bertea	ROU	2006-05-06
293	Arina Rodionova	AUS	1989-12-15
294	Wakana Sonobe	JPN	2008-01-17
295	Yuriko Miyazaki	GBR	1995-11-11
296	Amarissa Kiara Toth	HUN	2003-02-10
297	Ane Mintegi Del Olmo	ESP	2003-10-24
298	Elena Malygina	EST	2000-05-27
299	Arianne Hartono	NED	1996-04-21
300	Alevtina Ibragimova	RUS	2005-01-19
301	Clervie Ngounoue	USA	2006-07-19
302	Katarina Jokic	BIH	1998-04-19
303	Hayu Kinoshita	JPN	2006-10-27
304	Rina Saigo	JPN	2000-10-17
305	Hiromi Abe	JPN	2000-05-02
306	Zarina Diyas	KAZ	1993-10-18
307	Samira De Stefano	ITA	2004-05-06
308	Manon Leonard	FRA	2001-01-20
309	Julie Struplova	CZE	2004-11-16
310	Viktoria Morvayova	SVK	2001-03-10
311	Lea Ma	USA	2001-02-01
312	Yidi Yang	CHN	1999-12-21
313	Laura Hietaranta	FIN	2004-02-02
314	Kyoka Okamura	JPN	1995-10-06
315	Hibah Shaikh	USA	2002-09-25
316	Anouck Vrancken Peeters	NED	2003-02-13
317	Vivian Wolff	GER	1998-10-08
318	Lea Boskovic	CRO	1999-09-22
319	Gabriela Ce	BRA	1993-03-03
320	Haruka Kaji	JPN	1994-09-25
321	Alicia Herrero Linana	ESP	1998-12-29
322	Mia Pohankova	SVK	2008-10-21
323	Amandine Monnot	FRA	2002-02-06
324	Jule Niemeier	GER	1999-08-12
325	Tiphanie Fiquet	FRA	2000-05-17
326	Victoria Bosio	ARG	1994-10-03
327	Katarina Kuzmova	SVK	2001-08-07
328	Daria Khomutsianskaya	BLR	2004-02-15
329	Ekaterina Reyngold	RUS	2001-04-07
330	Erika Andreeva	RUS	2004-06-24
331	Margaux Rouvroy	FRA	2001-03-22
332	Miho Kuramochi	JPN	1998-06-09
333	Caijsa Wilda Hennemann	SWE	2001-03-22
334	Haley Giavara	USA	2000-10-16
335	Miriana Tona	ITA	1995-01-09
336	Renata Jamrichova	SVK	2007-06-20
337	Darya Astakhova	RUS	2002-01-26
338	Eunhye Lee	KOR	2000-05-10
339	Vera Zvonareva	RUS	1984-09-07
340	Tina Nadine Smith	AUS	2002-06-12
341	Georgia Pedone	ITA	2004-08-31
342	Dayeon Back	KOR	2002-01-24
343	Martha Matoula	GRE	1997-04-26
344	Eva Bennemann	GER	2007-10-05
345	Ons Jabeur	TUN	1994-08-28
346	En Shuo Liang	TPE	2000-10-02
347	Han Shi	CHN	2005-05-30
348	Francesca Curmi	MLT	2002-07-07
349	Gabriela Lee	ROU	1995-08-23
350	Ariana Geerlings	ESP	2005-09-01
351	Tessah Andrianjafitrimo	FRA	1998-10-11
352	Madison Brengle	USA	1990-04-03
353	Yafan Wang	CHN	1994-04-30
354	Yasmine Kabbaj	MAR	2004-01-15
355	Monika Ekstrand	USA	2007-05-02
356	Alina Granwehr	SUI	2003-07-13
357	Francesca Pace	ITA	2005-08-05
358	Hanna Chang	USA	1998-02-25
359	Amarni Banks	GBR	2002-10-08
360	Carlota Martinez Cirez	ESP	2001-02-13
361	Nastasja Schunk	GER	2003-08-17
362	Martina Capurro Taborda	ARG	1997-12-04
363	Kristiana Sidorova	RUS	2006-05-30
364	Kira Pavlova	RUS	2004-04-29
365	Elena Micic	AUS	2004-07-13
366	Natalija Senic	SRB	2003-01-02
367	Sandra Samir	EGY	1997-11-04
368	Robin Montgomery	USA	2004-09-05
369	Zhuoxuan Bai	CHN	2002-11-16
370	Eri Shimizu	JPN	1998-05-28
371	Tatiana Pieri	ITA	1999-03-29
372	Angelina Voloshchuk	POR	2007-04-29
373	Lucciana Perez Alarcon	PER	2005-05-08
374	Sofya Lansere	RUS	2000-09-29
375	Alicia Dudeney	GBR	2003-05-28
376	Alice Tubello	FRA	2001-01-30
377	Diletta Cherubini	ITA	2002-05-09
378	Eryn Cayetano	USA	2001-04-13
379	Dalila Jakupovic	SLO	1991-03-24
380	Naiktha Bains	GBR	1997-12-17
381	Sijia Wei	CHN	2003-12-05
382	Sapfo Sakellaridi	GRE	2003-04-01
383	Weronika Ewald	POL	2006-02-20
384	Denislava Glushkova	BUL	2004-01-08
385	Sahaja Yamalapalli	IND	2000-10-29
386	Sakura Hosogi	JPN	2000-03-25
387	Cagla Buyukakcay	TUR	1989-09-28
388	Elina Avanesyan	ARM	2002-09-17
389	Yasmine Mansouri	FRA	2001-05-15
390	Gergana Topalova	BUL	2000-02-22
391	Vaishnavi Adkar	IND	2004-12-14
392	Cristina Diaz Adrover	ESP	2005-12-03
393	Saki Imamura	JPN	2002-04-16
394	Martina Okalova	SVK	1997-06-05
395	Wushuang Zheng	CHN	1998-11-29
396	Alexis Blokhina	USA	2004-08-17
397	Aurora Zantedeschi	ITA	2000-11-02
398	Valentina Ryser	SUI	2001-03-22
399	Martina Colmegna	ITA	1996-12-10
400	Victoria Rodriguez	MEX	1995-04-22
401	Victoria Hu	USA	2002-04-25
402	Jasmijn Gimbrere	NED	2001-03-06
403	Nina Stojanovic	SRB	1996-07-30
404	Lamis Alhussein Abdel Aziz	EGY	1998-04-24
405	Isabella Shinikova	BUL	1991-10-25
406	Vittoria Paganetti	ITA	2006-06-17
407	Carol Zhao	CAN	1995-06-20
408	Alana Smith	USA	1999-11-09
409	Astrid Lew Yan Foon	FRA	2005-08-15
410	Antonia Vergara Rivera	CHI	2006-11-24
411	Ekaterina Kazionova	RUS	1999-01-13
412	Zuzanna Pawlikowska	POL	2005-02-27
413	Yufei Ren	CHN	2006-04-11
414	Mina Hodzic	GER	2002-06-06
415	Misaki Matsuda	JPN	1998-08-21
416	Jenny Duerst	SUI	1999-03-25
417	Patricia Maria Tig	ROU	1994-07-27
418	Federica Urgesi	ITA	2005-01-29
419	Priska Madelyn Nugroho	INA	2003-05-29
420	Amandine Hesse	FRA	1993-01-16
421	Xinxin Yao	CHN	2003-10-20
422	Zhibek Kulambayeva	KAZ	2000-03-26
423	Mell Elizabeth Reasco Gonzalez	ECU	2002-07-23
424	Aneta Kladivova	CZE	2000-05-23
425	Andreea Prisacariu	ROU	2000-02-09
426	Emina Bektas	USA	1993-03-30
427	Nicole Fossa Huergo	ITA	1995-05-26
428	Alana Subasic	AUS	2007-03-11
429	Ayano Shimizu	JPN	1998-04-11
430	Momoko Kobori	JPN	1998-08-22
431	Tena Lukas	CRO	1995-05-10
432	Amelia Rajecki	GBR	2002-06-03
433	Jia Jing Lu	CHN	1989-11-18
434	Sofia Shapatava	GEO	1989-01-12
435	Ikumi Yamazaki	JPN	2001-08-24
436	Natsumi Kawaguchi	JPN	2002-06-28
437	Victoria Allen	GBR	2001-02-26
438	Patcharin Cheapchandej	THA	1994-12-13
439	Fernanda Labrana	CHI	1999-03-13
440	Ylena In Albon	SUI	1999-03-06
441	Noemi Basiletti	ITA	2006-03-11
442	Aunchisa Chanta	THA	2002-09-12
443	Lisa Zaar	SWE	2000-04-30
444	Kristina Liutova	RUS	2010-02-02
445	Kristina Dmitruk	BLR	2003-09-25
446	Diana Martynov	FRA	2001-04-25
447	Ena Koike	JPN	2006-11-21
448	Thaisa Grana Pedretti	BRA	1999-05-15
449	Jiaqi Wang	CHN	2002-03-25
450	Lucija Ciric Bagaric	CRO	2004-01-09
451	Boyoung Jeong	KOR	2003-05-21
452	Destanee Aiava	AUS	2000-05-10
453	Ariana Arseneault	CAN	2002-06-15
454	Nahia Berecoechea	FRA	2004-04-23
455	Vaidehi Chaudhari	IND	2000-02-14
456	Rada Zolotareva	RUS	2008-09-28
457	Angella Okutoyi	KEN	2004-01-29
458	Valeriya Strakhova	UKR	1995-06-09
459	Anastasia Abbagnato	ITA	2003-11-19
460	Ella Mcdonald	GBR	2005-08-04
461	Radka Zelnickova	SVK	2003-06-13
462	Britt Du Pree	NED	2007-01-08
463	Irina Bara	ROU	1995-03-18
464	Emily Seibold	GER	2000-01-01
465	Stephanie Judith Visscher	NED	2000-01-25
466	Antonia Schmidt	GER	2001-06-23
467	Berfu Cengiz	TUR	1999-10-18
468	Ranah Akua Stoiber	GBR	2005-05-25
469	Alessandra Mazzola	ITA	1999-12-13
470	Maria Aran Teixido Garcia	ESP	2001-01-17
471	Mio Mushika	JPN	2005-07-21
472	Sofia Elena Cabezas Dominguez	VEN	2002-02-06
473	Maria Martinez Vaquero	ESP	2002-02-09
474	Carla Markus	ARG	2006-04-28
475	Meiqi Guo	CHN	2000-01-09
476	Jana Kovackova	CZE	2010-06-13
477	Valentini Grammatikopoulou	GRE	1997-02-09
478	Venus Williams	USA	1980-06-17
479	Emily Appleton	GBR	1999-09-01
480	Ruth Roura Llaverias	ESP	2006-02-08
481	Ilinca Dalina Amariei	ROU	2002-07-30
482	Lucia Cortez Llorca	ESP	2000-06-05
483	Yelyzaveta Kotliar	UKR	2007-02-01
484	Varvara Panshina	RUS	2006-02-11
485	Sara Dols	ESP	2005-05-09
486	Maria Florencia Urrutia	ARG	2001-03-09
487	Madison Sieg	USA	2003-06-17
488	Lidia Encheva	BUL	2006-07-30
489	Tahlia Kokkinis	AUS	2008-08-11
490	Gina Marie Dittmann	GER	2002-09-10
491	Mayu Crossley	JPN	2006-06-15
492	Josy Daems	GER	2006-03-13
493	Marie Vogt	GER	2005-02-03
494	Ekaterina Khayrutdinova	RUS	2004-03-13
495	Jodie Burrage	GBR	1999-05-28
496	Jenny Lim	FRA	2005-01-17
497	Yuki Naito	JPN	2001-02-16
498	Oana Georgeta Simion	ROU	1996-03-08
499	Yaroslava Bartashevich	FRA	2005-03-29
500	Mathilde Lollia	FRA	2000-05-20
501	Isis Louise Van Den Broek	NED	2005-12-28
502	Sarah Van Emst	NED	2004-11-06
503	Arianna Zucchini	ITA	2003-07-10
504	Ipek Oz	TUR	1999-07-08
505	Mariam Bolkvadze	GEO	1998-01-01
506	Ema Burgic	BIH	1992-08-22
507	Rasheeda Mcadoo	USA	1995-06-30
508	Laura Mair	ITA	2003-01-03
509	Zongyu Li	CHN	2003-05-27
510	Daria Lodikova	RUS	1996-05-25
511	Rositsa Dencheva	BUL	2007-03-10
512	Ekaterina Makarova	RUS	1996-02-15
513	Maria Sara Popa	ROU	2005-07-29
514	Ekaterina Maklakova	RUS	2004-03-18
515	Anja Stankovic	SRB	2005-06-13
516	Yuno Kitahara	JPN	2006-07-11
517	Maria Kozyreva	RUS	1999-05-22
518	Anastasia Kulikova	FIN	2000-02-15
519	Fangzhou Liu	CHN	1995-12-12
520	Isabella Maria Serban	ROU	2006-03-28
521	Eva Marie Voracek	GER	1999-03-26
522	Hannah Klugman	GBR	2009-02-18
523	Maria Mateas	USA	1999-07-21
524	Sara Sorribes Tormo	ESP	1996-10-08
525	Shrivalli Rashmikaa Bhamidipaty	IND	2001-12-12
526	Alice Gillan	GBR	1998-08-15
527	Jaeda Daniel	USA	1999-07-28
528	Ania Hertel	POL	2000-10-27
529	Ana Candiotto	BRA	2004-04-19
530	Georgia Andreea Craciun	ROU	1999-07-14
531	Katerina Tsygourova	SUI	2000-05-11
532	Julia Adams	USA	1999-09-23
533	Ekaterina Ovcharenko	RUS	2000-12-31
534	Deborah Chiesa	ITA	1996-06-13
535	Shilin Xu	CHN	1998-01-10
536	Julia Stusek	GER	2008-06-23
537	Vitalia Diatchenko	RUS	1990-08-02
538	Ayumi Koshiishi	JPN	2000-07-28
539	Luiza Fullana	BRA	2001-04-09
540	Petra Martic	CRO	1991-01-19
541	Ashley Lahey	USA	1999-10-26
542	Marie Weckerle	LUX	2003-05-04
543	Camilla Zanolini	ITA	2003-03-26
544	Weronika Falkowska	POL	2000-06-17
545	Ying Zhang	CHN	1996-04-15
546	Joelle Lilly Sophie Steur	GER	2004-03-30
547	Draginja Vukovic	SRB	2000-04-27
548	Esther Adeshina	GBR	2001-10-04
549	Maria Fernanda Navarro Oliva	MEX	1996-06-22
550	Verena Meliss	ITA	1997-07-21
551	Arina Bulatova	RUS	2006-04-18
552	Mayuka Aikawa	JPN	1998-04-02
553	Carmen Andreea Herea	ROU	2005-11-28
554	Sloane Stephens	USA	1993-03-20
555	Luca Udvardy	HUN	2005-11-04
556	Haruna Arakawa	JPN	1999-10-27
557	Sara Cakarevic	FRA	1997-03-12
558	Valentina Steiner	GER	2006-07-19
559	Robin Anderson	USA	1993-04-12
560	Mara Guth	GER	2003-06-24
561	Zeel Desai	IND	1999-02-18
562	Katy Dunne	GBR	1995-02-16
563	Lian Tran	NED	2002-07-19
564	Oceane Dodin	FRA	1996-10-24
565	Riya Bhatia	IND	1997-09-24
566	Gina Feistel	GER	2003-01-25
567	Julie Pastikova	CZE	2008-05-31
568	Enola Chiesa	ITA	2000-07-16
569	Dana Guzman	PER	2003-03-22
570	Tamila Gadamauri	BEL	2005-02-21
571	Alena Kovackova	CZE	2008-06-13
572	Kristina Kroitor	RUS	2006-12-20
573	Reina Goto	JPN	2007-09-11
574	Ekaterina Perelygina	RUS	2006-08-11
575	Kayo Nishimura	JPN	2006-06-11
576	Dasha Ivanova	USA	1996-10-11
577	Malaika Rapolu	USA	2003-04-18
578	Sarah Rokusek	AUS	2006-04-11
579	Jessica Bertoldo	ITA	1992-10-01
580	Tian Jialin	CHN	2006-10-04
581	Jenna Defalco	USA	2002-11-13
582	Rinko Matsuda	JPN	2005-04-10
583	Pia Lovric	SLO	2002-04-23
584	Jana Kolodynska	BLR	2003-08-10
585	Iva Primorac	CRO	1996-04-10
586	Jana Otzipka	BEL	2005-02-01
587	Thasaporn Naklo	THA	2001-08-20
588	Ankita Raina	IND	1993-01-11
589	Natsuki Yoshimoto	JPN	2003-06-24
590	Carolina Kuhl	GER	2005-04-04
591	Justina Maria Gonzalez Daniele	ARG	2005-12-08
592	Eva Maria Ionescu	ROU	2007-06-09
593	Eleejah Inisan	FRA	2008-07-06
594	Mariia Tkacheva	RUS	2001-12-17
595	Aneta Laboutkova	CZE	2000-05-10
596	Johanne Christine Svendsen	DEN	2004-05-15
597	Shiho Akita	JPN	1990-01-18
598	Andre Lukosiute	LTU	2001-06-23
599	Valeriya Yushchenko	RUS	1999-06-26
600	Alexandra Vagramov	CAN	2001-06-01
601	Bianca Elena Barbulescu	ROU	2003-11-11
602	Leonie Kung	SUI	2000-10-21
603	Martina Trevisan	ITA	1993-11-03
604	Dalayna Hewitt	USA	2000-12-16
605	Sara Daavettila	USA	1997-12-17
606	Mariella Thamm	GER	2009-08-21
607	Milana Zhabrailova	RUS	2003-02-10
608	Petra Kvitova	CZE	1990-03-08
609	Noelia Zeballos	BOL	1994-05-02
610	Meiling Wang	CHN	2000-02-22
611	Adelina Lachinova	LAT	2008-02-10
